sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,cpu_speed,gpu,ram,storage,rearcam_specs,frontcam_specs,screen_size,screen_panel,screen_res,screen_rate,os,water_resistant,battery,charger,weight,material,connectivity,network,ports
325988,Máy tính bảng Xiaomi Redmi Pad Pro WiFi 6GB/128GB,6960000,Xiaomi,Tablet,4.9,17633,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-pro-6gb-128gb,06/2024,2025-09-27 01:37:39,Snapdragon 7s Gen 2 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.95 GHz,Adreno 710,6 GB,128 GB,8 MP,8 MP,"12.1""",IPS LCD,1600 x 2560 Pixels,120 Hz,Xiaomi HyperOS (Android 14),,10000 mAh,33 W,571 g,Kim loại nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi 6, MIMO, Dual-band, v5.2",,3.5 mm
335276,Máy tính bảng iPad Air M3 13 inch WiFi 256GB,24390000,iPad (Apple),Tablet,5.0,247,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-13-inch-wifi-256gb,03/2025,2025-09-27 01:37:40,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,256 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 18,,36.59 Wh,20 W,616 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C
335313,Máy tính bảng iPad A16 5G 512GB,21390000,iPad (Apple),Tablet,5.0,24,https://www.thegioididong.com/may-tinh-bang/ipad-11-5g-512gb,03/2025,2025-09-27 01:37:40,Apple A16 5 nhân,Hãng không công bố,Apple GPU 4 nhân,6 GB,512 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,60 Hz,iPadOS 18,,28.93 Wh,20 W,481 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6, MIMO, Dual-band",5G,Type-C
331230,Máy tính bảng iPad mini 7 WiFi 256GB,15990000,iPad (Apple),Tablet,5.0,811,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-wifi-256gb,10/2024,2025-09-27 01:37:40,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 5 nhân,8 GB,256 GB,12 MP,12 MP,"8.3""",LED-backlit IPS LCD,1488 x 2266 Pixels,,iPadOS 18,,19.3 Wh,20 W,293 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6E, MIMO, iBeacon, Dual-band",,
345549,Máy tính bảng Samsung Galaxy Tab A11 4G 8GB/128GB,6490000,Samsung,Tablet,,,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a11-4g-8gb-128gb,09/2025,2025-09-27 01:37:41,,,,,,,,,,,,,,,,,,,,
345548,Máy tính bảng Samsung Galaxy Tab A11 4G 4GB/64GB,5490000,Samsung,Tablet,,,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a11-4g-4gb-64gb,09/2025,2025-09-27 01:37:41,,,,,,,,,,,,,,,,,,,,
335275,Máy tính bảng iPad Air M3 13 inch WiFi 128GB,21690000,iPad (Apple),Tablet,5.0,393,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-13-inch-wifi-128gb,03/2025,2025-09-27 01:37:42,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,128 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 18,,36.59 Wh,20 W,616 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C
335311,Máy tính bảng iPad A16 5G 128GB,13390000,iPad (Apple),Tablet,5.0,1031,https://www.thegioididong.com/may-tinh-bang/ipad-11-5g-128gb,03/2025,2025-09-27 01:37:42,Apple A16 5 nhân,Hãng không công bố,Apple GPU 4 nhân,6 GB,128 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,60 Hz,iPadOS 18,,28.93 Wh,20 W,481 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6, MIMO, Dual-band",5G,Type-C
325524,Máy tính bảng iPad Air 6 M2 11 inch 5G 1TB,28390000,iPad (Apple),Tablet,5.0,20,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-11-inch-wifi-cellular-1tb,05/2024,2025-09-27 01:37:42,Apple M2 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,1 TB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,,iPadOS 17,,28.93 Wh,20 W,462 g,Nhôm nguyên khối,"v5.3, Wi-Fi hotspot, Wi-Fi 6E, MIMO, Dual-band",5G,Type-C
334529,Máy tính bảng Xiaomi Pad 7 WiFi 8GB/128GB,9400000,Xiaomi,Tablet,5.0,325,https://www.thegioididong.com/may-tinh-bang/xiaomi-pad-7,03/2025,2025-09-27 01:37:44,Snapdragon 7+ Gen 3 8 nhân,2.8 GHz,Andreno 732,8 GB,128 GB,13 MP,8 MP,"11.2""",IPS LCD,2136 x 3200 Pixels,144 Hz,Xiaomi HyperOS 2,,8850 mAh,45 W,500 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 6E, Wi-Fi 6, Dual-band, v5.4",,Type-C
336738,Máy tính bảng Samsung Galaxy Tab S10 FE 5G 8GB/128GB,13590000,Samsung,Tablet,5.0,901,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-fe-5g,04/2025,2025-09-27 01:37:45,Exynos 1580 8 nhân,2.9 GHz,Xclipse 540,8 GB,128 GB,13 MP,12 MP,"10.9""",TFT LCD,1440 x 2304 Pixels,90 Hz,Android 15,IP68,8000 mAh,45 W,500 g,Nhôm nguyên khối,"v5.3, Wi-Fi Direct, Wi-Fi 6, MIMO, Dual-band",5G,Type-C
322130,Máy tính bảng Samsung Galaxy Tab S10+ WiFi 12GB/256GB,21520000,Samsung,Tablet,5.0,767,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-plus,10/2024,2025-09-27 01:37:45,MediaTek Dimensity 9300+ 8 nhân,3.4 GHz,ARM Immortalis G720,12 GB,256 GB,Chính 13 MP & Phụ 8 MP,12 MP,"12.4""",Dynamic AMOLED 2X,1752 x 2800 Pixels,120 Hz,Android 14,IP68,10090 mAh,45 W,571 g,Nhôm nguyên khối,"v5.3, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi 6E, MIMO, Dual-band",,Type-C
325515,Máy tính bảng iPad Pro M4 11 inch WiFi 1TB,42190000,iPad (Apple),Tablet,5.0,26,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-11-inch-wifi-1tb,05/2024,2025-09-27 01:37:45,Apple M4 10 nhân,Hãng không công bố,Apple GPU 10 nhân,16 GB,1 TB,12 MP,12 MP,"11""",Ultra Retina XDR,1668 x 2420 Pixels,120 Hz,iPadOS 17,,31.29 Wh,20 W,444 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C
325507,Máy tính bảng iPad Air 6 M2 13 inch WiFi 256GB,21090000,iPad (Apple),Tablet,5.0,382,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-13-inch-wifi-256gb,05/2024,2025-09-27 01:37:45,Apple M2 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,256 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 17,,36.59 Wh,20 W,617 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C
315390,Máy tính bảng Samsung Galaxy Tab A9 WiFi 4GB/64GB,3620000,Samsung,Tablet,4.9,10880,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9,10/2023,2025-09-27 01:37:45,MediaTek Helio G99,2.2 GHz,Mali-G57 MC2,4 GB,64 GB,8 MP,2 MP,"8.7""",TFT LCD,800 x 1340 Pixels,60 Hz,Android 13,,5100 mAh,15 W,332 g,Nhôm nguyên khối,"v5.3, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band",,3.5 mm
334991,Máy tính bảng Lenovo Tab 4G 4GB/64GB,4040000,Lenovo,Tablet,5.0,153,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-4g,11/2024,2025-09-27 01:37:46,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,4 GB,64 GB,8 MP,5 MP,"10.1""",IPS LCD,1200 x 1920 Pixels,60 Hz,Android 14,IP52,5100 mAh,15 W,425 g,Kim loại nguyên khối,"v5.3, Wi-Fi 5",Hỗ trợ 4G,3.5 mm
335271,Máy tính bảng iPad Air M3 11 inch 5G 128GB,20090000,iPad (Apple),Tablet,5.0,210,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-11-inch-5g-128gb,03/2025,2025-09-27 01:37:49,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,128 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,,iPadOS 18,,28.93 Wh,20 W,460 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",5G,Type-C
315622,Máy tính bảng Xiaomi Redmi Pad SE WiFi 8GB/256GB,5490000,Xiaomi,Tablet,4.9,8776,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-se-8gb,09/2023,2025-09-27 01:37:50,Snapdragon 680 8 nhân,2.4 GHz,Adreno 610,8 GB,256 GB,8 MP,5 MP,"11""",IPS LCD,1200 x 1920 Pixels,90 Hz,Android 13,,8000 mAh,10 W,478 g,Kim loại nguyên khối,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, OTG, v5.0",,3.5 mm
335311,Máy tính bảng iPad A16 5G 128GB,13390000,iPad (Apple),Tablet,5.0,1031,https://www.thegioididong.com/may-tinh-bang/ipad-11-5g-128gb,03/2025,2025-09-27 01:37:50,Apple A16 5 nhân,Hãng không công bố,Apple GPU 4 nhân,6 GB,128 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,60 Hz,iPadOS 18,,28.93 Wh,20 W,481 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6, MIMO, Dual-band",5G,Type-C
325989,Máy tính bảng Xiaomi Redmi Pad Pro WiFi 8GB/128GB,7650000,Xiaomi,Tablet,4.9,2469,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-pro-8gb-128gb,06/2024,2025-09-27 01:37:53,Snapdragon 7s Gen 2 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.95 GHz,Adreno 710,8 GB,128 GB,8 MP,8 MP,"12.1""",IPS LCD,1600 x 2560 Pixels,120 Hz,Xiaomi HyperOS (Android 14),,10000 mAh,33 W,571 g,Kim loại nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi 6, MIMO, Dual-band, v5.2",,3.5 mm
331229,Máy tính bảng iPad mini 7 WiFi 128GB,13590000,iPad (Apple),Tablet,4.9,3956,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-wifi,10/2024,2025-09-27 01:37:54,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 5 nhân,8 GB,128 GB,12 MP,12 MP,"8.3""",LED-backlit IPS LCD,1488 x 2266 Pixels,,iPadOS 18,,19.3 Wh,20 W,293 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6E, MIMO, iBeacon, Dual-band",,
326643,Máy tính bảng Lenovo Tab M11 WiFi 4GB/128GB,0,Lenovo,Tablet,5.0,382,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m11-wifi,06/2024,2025-09-27 01:37:55,MediaTek Helio G88 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,4 GB,128 GB,8 MP,8 MP,"10.95""",IPS LCD,1200 x 1920 Pixels,90 Hz,Android 13,IP52,7040 mAh,10 W,465 g,Kim loại nguyên khối,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.1",,3.5 mm
339828,Máy tính bảng HONOR Pad X9a 8GB/256GB,6670000,HONOR,Tablet,4.9,231,https://www.thegioididong.com/may-tinh-bang/honor-pad-x9a,07/2025,2025-09-27 01:37:55,Snapdragon 685 8 nhân,4 nhân 2.8 GHz & 4 nhân 1.9 GHz,Adreno 610,8 GB,256 GB,8 MP,5 MP,"11.5""",IPS LCD,1504 x 2508 Pixels,120 Hz,Android 15,,8300 mAh,35 W,475 g,Kim loại nguyên khối,"OTG, Wi-Fi 5, Dual-band, v5.1",,3.5 mm
325517,Máy tính bảng iPad Pro M4 13 inch WiFi 256GB,36090000,iPad (Apple),Tablet,5.0,959,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-13-inch-wifi-256gb,05/2024,2025-09-27 01:37:56,Apple M4 9 nhân,Hãng không công bố,Apple GPU 10 nhân,8 GB,256 GB,12 MP,12 MP,"13""",Ultra Retina XDR,2064 x 2752 Pixels,120 Hz,iPadOS 17,,38.99 Wh,20 W,579 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C
335279,Máy tính bảng iPad Air M3 13 inch 5G 128GB,24590000,iPad (Apple),Tablet,5.0,62,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-13-inch-5g-128gb,03/2025,2025-09-27 01:37:56,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,128 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 18,,36.59 Wh,20 W,617 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",5G,Type-C
325510,Máy tính bảng iPad Air 6 M2 13 inch WiFi 512GB,26490000,iPad (Apple),Tablet,5.0,46,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-13-inch-wifi-512gb,05/2024,2025-09-27 01:37:57,Apple M2 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,512 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 17,,36.59 Wh,20 W,617 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C
322131,Máy tính bảng Samsung Galaxy Tab S10+ 5G 12GB/256GB,24470000,Samsung,Tablet,5.0,610,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-plus-5g,10/2024,2025-09-27 01:37:57,MediaTek Dimensity 9300+ 8 nhân,3.4 GHz,ARM Immortalis G720,12 GB,256 GB,Chính 13 MP & Phụ 8 MP,12 MP,"12.4""",Dynamic AMOLED 2X,1752 x 2800 Pixels,120 Hz,Android 14,IP68,10090 mAh,45 W,571 g,Nhôm nguyên khối,"v5.3, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi 6E, MIMO, Dual-band",5G,Type-C
334530,Máy tính bảng Xiaomi Pad 7 WiFi 8GB/256GB,11090000,Xiaomi,Tablet,5.0,2314,https://www.thegioididong.com/may-tinh-bang/xiaomi-pad-7-8gb-256gb,03/2025,2025-09-27 01:37:58,Snapdragon 7+ Gen 3 8 nhân,2.8 GHz,Andreno 732,8 GB,256 GB,13 MP,8 MP,"11.2""",IPS LCD,2136 x 3200 Pixels,144 Hz,Xiaomi HyperOS 2,,8850 mAh,45 W,500 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 6E, Wi-Fi 6, Dual-band, v5.4",,Type-C
331233,Máy tính bảng iPad mini 7 5G 256GB,19890000,iPad (Apple),Tablet,5.0,213,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-5g-256gb,10/2024,2025-09-27 01:38:00,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 5 nhân,8 GB,256 GB,12 MP,12 MP,"8.3""",LED-backlit IPS LCD,1488 x 2266 Pixels,,iPadOS 18,,19.3 Wh,20 W,297 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6E, MIMO, iBeacon, Dual-band",5G,
336740,Máy tính bảng Samsung Galaxy Tab S10 FE+ WiFi 8GB/128GB,14590000,Samsung,Tablet,5.0,874,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-fe-plus,04/2025,2025-09-27 01:38:01,Exynos 1580 8 nhân,2.9 GHz,Xclipse 540,8 GB,128 GB,13 MP,12 MP,"13.1""",TFT LCD,1800 x 2880 Pixels,90 Hz,Android 15,IP68,10090 mAh,45 W,664 g,Nhôm nguyên khối,"v5.3, Wi-Fi Direct, Wi-Fi 6, MIMO, Dual-band",,Type-C
335275,Máy tính bảng iPad Air M3 13 inch WiFi 128GB,21690000,iPad (Apple),Tablet,5.0,393,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-13-inch-wifi-128gb,03/2025,2025-09-27 01:38:02,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,128 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 18,,36.59 Wh,20 W,616 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C
335308,Máy tính bảng iPad A16 WiFi 128GB,9690000,iPad (Apple),Tablet,4.9,15248,https://www.thegioididong.com/may-tinh-bang/ipad-11-wifi-128gb,03/2025,2025-09-27 01:38:02,Apple A16 5 nhân,Hãng không công bố,Apple GPU 4 nhân,6 GB,128 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,60 Hz,iPadOS 18,,28.93 Wh,20 W,477 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6, MIMO, Dual-band",,Type-C
328524,Máy tính bảng Xiaomi Redmi Pad SE 8.7 4G 6GB/128GB,5400000,Xiaomi,Tablet,5.0,1016,https://www.thegioididong.com/may-tinh-bang/redmi-pad-se-8-7-4g-6gb-128gb,08/2024,2025-09-27 01:38:02,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,6 GB,128 GB,8 MP,5 MP,"8.7""",IPS LCD,800 x 1340 Pixels,90 Hz,Android 14,,6650 mAh,18 W,375 g,Nhựa nguyên khối,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.3",Hỗ trợ 4G,3.5 mm
320991,Máy tính bảng TCL Tab 11 WiFi 4GB/128GB,4220000,TCL,Tablet,4.9,2069,https://www.thegioididong.com/may-tinh-bang/tcl-tab-11,08/2023,2025-09-27 01:38:02,Helio P60T,2 GHz,Mali-G72 MP3,4 GB,128 GB,8 MP,8 MP,"10.95""",IPS LCD,1200 x 2000 Pixels,60 Hz,Android 13,,8000 mAh,18 W,462 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.0",,Type-C
328523,Máy tính bảng Xiaomi Redmi Pad SE 8.7 4G 4GB/128GB,4500000,Xiaomi,Tablet,5.0,2644,https://www.thegioididong.com/may-tinh-bang/redmi-pad-se-8-7-4g-4gb-128gb,08/2024,2025-09-27 01:38:03,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,4 GB,128 GB,8 MP,5 MP,"8.7""",IPS LCD,800 x 1340 Pixels,90 Hz,Android 14,,6650 mAh,18 W,375 g,Nhựa nguyên khối,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.3",Hỗ trợ 4G,3.5 mm
334527,Máy tính bảng Xiaomi Pad 7 Pro WiFi 12GB/512GB,15500000,Xiaomi,Tablet,5.0,577,https://www.thegioididong.com/may-tinh-bang/xiaomi-pad-7-pro-12gb-512gb,03/2025,2025-09-27 01:38:04,Snapdragon 8s Gen 3 8 nhân,3 GHz,Andreno 735,12 GB,512 GB,50 MP,32 MP,"11.2""",IPS LCD,2136 x 3200 Pixels,144 Hz,Xiaomi HyperOS 2,,8850 mAh,67 W,500 g,Nhôm nguyên khối,"v5.4, Wi-Fi Direct, Wi-Fi 7, Wi-Fi 6E, Wi-Fi 6, Dual-band",,Type-C
315590,Máy tính bảng Samsung Galaxy Tab A9+ WiFi 4GB/64GB,4890000,Samsung,Tablet,4.9,7360,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus,10/2023,2025-09-27 01:38:04,Snapdragon 695,2.2 GHz,Adreno 619,4 GB,64 GB,8 MP,5 MP,"11""",TFT LCD,1200 x 1920 Pixels,90 Hz,Android 13,,7040 mAh,15 W,480 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.1",,3.5 mm
331231,Máy tính bảng iPad mini 7 WiFi 512GB,21090000,iPad (Apple),Tablet,5.0,64,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-wifi-512gb,10/2024,2025-09-27 01:38:04,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 5 nhân,8 GB,512 GB,12 MP,12 MP,"8.3""",LED-backlit IPS LCD,1488 x 2266 Pixels,,iPadOS 18,,19.3 Wh,20 W,293 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6E, MIMO, iBeacon, Dual-band",,
339206,Máy tính bảng Xiaomi Redmi Pad 2 WiFi 8GB/256GB,6380000,Xiaomi,Tablet,4.9,2120,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-2-wifi-8gb-256gb,06/2025,2025-09-27 01:38:04,MediaTek Helio G100-Ultra 8 nhân,2 nhân 2.2 GHz & 6 nhân 2 GHz,Mali-G57 MC2,8 GB,256 GB,8 MP,5 MP,"11""",IPS LCD,1600 x 2560 Pixels,90 Hz,Xiaomi HyperOS 2,,9000 mAh,18 W,519 g,Kim loại nguyên khối,"v5.3, Wi-Fi 5, Dual-band",,3.5 mm
335311,Máy tính bảng iPad A16 5G 128GB,13390000,iPad (Apple),Tablet,5.0,1031,https://www.thegioididong.com/may-tinh-bang/ipad-11-5g-128gb,03/2025,2025-09-27 01:38:05,Apple A16 5 nhân,Hãng không công bố,Apple GPU 4 nhân,6 GB,128 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,60 Hz,iPadOS 18,,28.93 Wh,20 W,481 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6, MIMO, Dual-band",5G,Type-C
335313,Máy tính bảng iPad A16 5G 512GB,21390000,iPad (Apple),Tablet,5.0,24,https://www.thegioididong.com/may-tinh-bang/ipad-11-5g-512gb,03/2025,2025-09-27 01:38:06,Apple A16 5 nhân,Hãng không công bố,Apple GPU 4 nhân,6 GB,512 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,60 Hz,iPadOS 18,,28.93 Wh,20 W,481 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6, MIMO, Dual-band",5G,Type-C
339205,Máy tính bảng Xiaomi Redmi Pad 2 WiFi 6GB/128GB,5690000,Xiaomi,Tablet,5.0,415,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-2-wifi-6gb-128gb,06/2025,2025-09-27 01:38:07,MediaTek Helio G100-Ultra 8 nhân,2 nhân 2.2 GHz & 6 nhân 2 GHz,Mali-G57 MC2,6 GB,128 GB,8 MP,5 MP,"11""",IPS LCD,1600 x 2560 Pixels,90 Hz,Xiaomi HyperOS 2,,9000 mAh,18 W,519 g,Kim loại nguyên khối,"v5.3, Wi-Fi 5, Dual-band",,3.5 mm
315607,Máy tính bảng Xiaomi Redmi Pad SE WiFi 4GB/128GB,4210000,Xiaomi,Tablet,4.9,26899,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-se-4gb,09/2023,2025-09-27 01:38:07,Snapdragon 680 8 nhân,2.4 GHz,Adreno 610,4 GB,128 GB,8 MP,5 MP,"11""",IPS LCD,1200 x 1920 Pixels,90 Hz,Android 13,,8000 mAh,10 W,478 g,Kim loại nguyên khối,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, OTG, v5.0",,3.5 mm
325525,Máy tính bảng iPad Air 6 M2 13 inch 5G 128GB,21690000,iPad (Apple),Tablet,5.0,176,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-13-inch-wifi-cellular-128gb,05/2024,2025-09-27 01:38:07,Apple M2 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,128 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 17,,36.59 Wh,20 W,618 g,Nhôm nguyên khối,"v5.3, Wi-Fi hotspot, Wi-Fi 6E, MIMO, Dual-band",5G,Type-C
325523,Máy tính bảng iPad Air 6 M2 11 inch 5G 512GB,24790000,iPad (Apple),Tablet,5.0,105,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-11-inch-wifi-cellular-512gb,05/2024,2025-09-27 01:38:08,Apple M2 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,512 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,,iPadOS 17,,28.93 Wh,20 W,462 g,Nhôm nguyên khối,"v5.3, Wi-Fi hotspot, Wi-Fi 6E, MIMO, Dual-band",5G,Type-C
331233,Máy tính bảng iPad mini 7 5G 256GB,19890000,iPad (Apple),Tablet,5.0,213,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-5g-256gb,10/2024,2025-09-27 01:38:09,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 5 nhân,8 GB,256 GB,12 MP,12 MP,"8.3""",LED-backlit IPS LCD,1488 x 2266 Pixels,,iPadOS 18,,19.3 Wh,20 W,297 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6E, MIMO, iBeacon, Dual-band",5G,
339205,Máy tính bảng Xiaomi Redmi Pad 2 WiFi 6GB/128GB,5690000,Xiaomi,Tablet,5.0,415,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-2-wifi-6gb-128gb,06/2025,2025-09-27 01:38:09,MediaTek Helio G100-Ultra 8 nhân,2 nhân 2.2 GHz & 6 nhân 2 GHz,Mali-G57 MC2,6 GB,128 GB,8 MP,5 MP,"11""",IPS LCD,1600 x 2560 Pixels,90 Hz,Xiaomi HyperOS 2,,9000 mAh,18 W,519 g,Kim loại nguyên khối,"v5.3, Wi-Fi 5, Dual-band",,3.5 mm
325525,Máy tính bảng iPad Air 6 M2 13 inch 5G 128GB,21690000,iPad (Apple),Tablet,5.0,176,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-13-inch-wifi-cellular-128gb,05/2024,2025-09-27 01:38:09,Apple M2 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,128 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,,iPadOS 17,,36.59 Wh,20 W,618 g,Nhôm nguyên khối,"v5.3, Wi-Fi hotspot, Wi-Fi 6E, MIMO, Dual-band",5G,Type-C
332555,Máy tính bảng OPPO Pad 3 Pro 12GB/256GB,15590000,OPPO,Tablet,5.0,138,https://www.thegioididong.com/may-tinh-bang/oppo-pad-3-pro,12/2024,2025-09-27 01:38:10,Snapdragon 8 Gen 3 8 nhân,3.4 GHz,Adreno 750,12 GB,256 GB,13 MP,8 MP,"12.1""",LTPS LCD,2120 x 3000 Pixels,144 Hz,Android 14,IPX2,9510 mAh,67 W,586 g,Kim loại nguyên khối,"OTG, v5.4, Wi-Fi 802.11 a/b/g/n, Wi-Fi 7, Wi-Fi 6, Wi-Fi 5, Dual-band, 6 GHz",,Type-C
